"data";"seguidores"
"2022-08-25 17:37:06";245602
"2022-08-25 21:03:07";246212
"2022-08-25 21:22:43";246584
"2022-08-26 02:22:12";254230
"2022-08-26 12:43:15";258045
"2022-08-27 02:21:09";263920
"2022-08-27 12:40:56";265406
"2022-08-28 02:26:09";268940
"2022-08-28 12:36:22";269946
"2022-08-29 02:22:19";281020
"2022-08-29 12:42:23";286965
"2022-08-30 02:27:07";293434
"2022-08-30 12:46:21";295171
"2022-08-31 02:33:17";299289
"2022-08-31 12:45:43";300284
"2022-09-01 02:10:01";302205
"2022-09-01 12:43:10";302809
"2022-09-02 02:14:01";304560
"2022-09-02 12:41:45";305370
"2022-09-03 02:22:47";306800
"2022-09-03 12:36:48";307263
"2022-09-04 02:12:17";308455
"2022-09-04 12:41:00";308858
"2022-09-05 02:22:11";309982
"2022-09-05 12:41:56";310285
"2022-09-06 02:26:27";311527
"2022-09-06 12:45:44";312019
"2022-09-07 02:24:51";313060
"2022-09-07 12:45:21";313482
"2022-09-08 02:17:41";314875
"2022-09-08 12:43:00";315279
"2022-09-09 02:24:48";316549
"2022-09-09 12:44:49";317035
"2022-09-10 02:25:02";318672
"2022-09-10 12:39:31";319013
"2022-09-11 02:24:58";320047
"2022-09-11 12:40:27";320438
"2022-09-12 02:29:19";322080
"2022-09-12 12:49:55";322428
"2022-09-13 02:24:56";323383
"2022-09-13 12:48:57";323760
"2022-09-14 02:24:39";324703
"2022-09-14 12:48:12";325034
"2022-09-15 02:30:41";325925
"2022-09-15 12:52:41";326196
"2022-09-16 02:30:50";327075
"2022-09-16 12:43:27";327402
"2022-09-17 02:12:07";328005
"2022-09-17 12:39:40";328357
"2022-09-18 02:35:28";329085
"2022-09-18 12:41:20";329314
"2022-09-19 02:30:38";330190
"2022-09-19 12:50:12";330606
"2022-09-20 02:20:01";331610
"2022-09-20 12:47:09";331929
"2022-09-21 02:33:58";332904
"2022-09-21 12:50:47";333282
"2022-09-22 02:20:33";334264
"2022-09-22 12:48:36";334589
"2022-09-23 02:25:56";335474
"2022-09-23 12:45:27";335764
"2022-09-24 02:25:52";336292
"2022-09-24 12:42:13";336487
"2022-09-25 02:25:09";336995
"2022-09-25 12:41:33";337185
"2022-09-26 02:27:10";337807
"2022-09-26 12:50:57";338184
"2022-09-27 02:17:21";338957
"2022-09-27 12:51:45";339212
"2022-09-28 02:21:54";339810
"2022-09-28 12:47:39";340093
"2022-09-29 02:27:16";340613
"2022-09-29 12:49:30";340917
"2022-09-30 02:43:16";342305
"2022-09-30 12:53:23";343287
"2022-10-01 02:38:16";344277
"2022-10-01 12:44:30";344616
"2022-10-02 02:29:21";345704
"2022-10-02 12:44:44";346309
"2022-10-03 02:00:10";348709
"2022-10-03 12:51:38";349467
"2022-10-04 02:08:57";351624
"2022-10-04 12:54:15";352604
"2022-10-05 02:09:10";359719
"2022-10-05 12:53:16";362848
"2022-10-06 02:03:02";367948
"2022-10-06 12:52:33";369354
"2022-10-07 02:17:37";373243
"2022-10-07 12:52:56";374766
